Date,Price,Open,High,Low,Vol.,Change %
2015.11.27,118.77,118.51,118.86,118.47,18.44K,0.19
2015.11.30,118.63,118.71,118.85,118.51,19.95K,-0.12
2015.12.01,119.23,118.43,119.29,118.35,7.05K,0.51
2015.12.02,119.39,119.23,119.61,119.13,4.14K,0.13
2015.12.03,118.25,119.32,119.32,118.05,3.32K,-0.95
2015.12.04,117.69,118.12,118.21,117.39,4.10K,-0.47
2015.12.07,118.72,117.85,118.73,117.85,2.03K,0.88
2015.12.08,118.74,118.83,118.83,118.55,1.03K,0.02
2015.12.09,118.16,118.69,118.69,118.13,0.46K,-0.49
2015.12.10,118.41,118.5,118.68,118.5,0.20K,0.21
2015.12.11,118.87,118.31,118.31,118.31,1.26K,0.39
2015.12.14,118.76,118.61,118.92,118.61,0.40K,-0.09
2015.12.15,117.63,118.26,118.26,117.97,0.09K,-0.95
2015.12.16,117.67,117.77,117.84,117.77,1.51K,0.03
2015.12.17,118.56,118.22,118.52,118.22,1.16K,0.76
2015.12.18,118.68,118.94,118.94,118.9,0.05K,0.1
2015.12.21,118.85,118.77,118.77,118.77,17.53K,0.14
2015.12.22,118.3,118.69,118.71,118.37,0.44K,-0.46
2015.12.23,117.78,118.26,118.26,117.73,0.16K,-0.44
2015.12.24,117.1,116.93,117.14,116.88,0,-0.58
2015.12.27,117.1,117.1,117.1,117.1,0,0
2015.12.28,117.1,117.1,117.1,117.1,0,0
2015.12.29,118.17,118.6,118.6,118.03,0.10K,0.92
2015.12.30,116.44,117.02,117.06,116.35,94.42K,-1.46
2015.12.31,116.77,116.49,117.02,116.46,33.56K,0.28
2016.01.04,117.44,117.04,117.58,117.04,129.12K,0.57
2016.01.05,117.47,117.25,117.61,117.22,151.52K,0.03
2016.01.06,118.29,117.7,118.34,117.66,169.41K,0.7
2016.01.07,118.2,118.56,118.91,118.01,208.20K,-0.08
2016.01.08,118.59,118.3,118.78,118.06,155.63K,0.33
2016.01.11,118.55,118.58,118.64,118.23,135.47K,-0.03
2016.01.12,118.67,118.3,118.86,118.14,175.35K,0.1
2016.01.13,118.75,118.56,118.85,118.5,146.95K,0.07
2016.01.14,118.9,118.83,119.35,118.75,183.66K,0.13
2016.01.15,119.64,119.04,119.9,118.94,187.48K,0.62
2016.01.18,119.31,119.54,119.54,119.18,103.00K,-0.28
2016.01.19,119.19,119.08,119.37,118.69,181.79K,-0.1
2016.01.20,119.98,119.7,120.14,119.61,218.99K,0.66
2016.01.21,119.48,119.78,120,119.35,206.44K,-0.42
2016.01.22,119.07,119.45,119.45,118.79,186.83K,-0.34
2016.01.25,119.35,119.15,119.45,119.11,140.36K,0.24
2016.01.26,119.27,119.68,119.88,119.13,195.44K,-0.07
2016.01.27,119.2,119.45,119.5,119.02,165.14K,-0.06
2016.01.28,119.45,119.45,119.76,119.1,204.23K,0.21
2016.01.29,120.32,119.81,120.47,119.75,238.14K,0.73
2016.02.01,119.76,120.52,120.55,119.71,181.86K,-0.47
2016.02.02,120.5,119.94,120.67,119.89,185.68K,0.62
2016.02.03,120.89,120.58,121.14,120.19,212.98K,0.32
2016.02.04,120.35,120.53,120.6,120.11,203.20K,-0.45
2016.02.05,120.35,120.47,120.86,120.15,156.42K,0
2016.02.08,121.92,120.57,121.96,120.43,194.54K,1.3
2016.02.09,121.83,121.72,122.11,121.44,244.91K,-0.07
2016.02.10,121.77,121.8,121.95,121.52,188.29K,-0.05
2016.02.11,123.12,122.37,123.64,122.32,344.14K,1.11
2016.02.12,121.95,122.14,122.5,121.66,213.26K,-0.95
2016.02.15,121.75,121.45,121.84,121.22,89.01K,-0.16
2016.02.16,121.76,121.55,121.8,121.23,149.50K,0.01
2016.02.17,121.21,121.8,121.91,121.07,201.91K,-0.45
2016.02.18,121.68,121.52,121.73,121.06,147.26K,0.39
2016.02.19,122.04,122.05,122.29,121.71,166.26K,0.3
2016.02.22,122.09,121.65,122.16,121.55,177.86K,0.04
2016.02.23,121.84,122.07,122.15,121.14,381.87K,-0.2
2016.02.24,122.61,122.03,122.75,121.95,356.62K,0.63
2016.02.25,122.44,122.15,122.58,121.85,201.73K,-0.14
2016.02.26,122.04,122.35,122.39,121.88,56.94K,-0.33
2016.02.29,122.75,122.25,122.78,122.11,32.03K,0.58
2016.03.01,122.19,122.77,122.79,121.78,8.49K,-0.46
2016.03.02,121.45,121.66,121.77,121.32,10.04K,-0.61
2016.03.03,121.57,121.29,121.76,121.29,1.62K,0.1
2016.03.04,121.18,121.62,121.78,121.15,1.82K,-0.32
2016.03.07,121.33,121.41,121.43,121.19,0.88K,0.12
2016.03.08,122.34,121.67,122.42,121.67,1.52K,0.83
2016.03.09,121.42,121.71,121.71,121.31,4.66K,-0.75
2016.03.10,120.81,121.58,121.58,120.75,1.54K,-0.5
2016.03.11,120.38,121.05,121.05,120.4,24.02K,-0.36
2016.03.14,120.65,120.44,120.79,120.36,1.87K,0.22
2016.03.15,120.83,120.8,121.01,120.8,0.28K,0.15
2016.03.16,120.99,121.01,121.01,121.01,0.01K,0.13
2016.03.17,121.56,121.91,121.91,121.47,0.19K,0.47
2016.03.18,121.51,121.69,121.73,121.52,0.03K,-0.04
2016.03.21,121.38,121.46,121.46,121.32,0.02K,-0.11
2016.03.22,121.58,121.62,121.62,121.48,0.66K,0.16
2016.03.23,121.64,121.18,121.18,121.18,0.12K,0.05
2016.03.24,121.57,121.6,121.6,121.6,0.58K,-0.06
2016.03.29,122.04,121.9,122.07,121.9,0.47K,0.39
2016.03.30,120.86,121.36,121.5,120.76,128.00K,-0.97
2016.03.31,121.22,121.19,121.39,121.01,168.32K,0.3
2016.04.01,121.07,121.05,121.33,120.8,193.10K,-0.12
2016.04.04,121.12,121.29,121.37,120.84,128.31K,0.04
2016.04.05,121.63,121.26,121.86,121.26,176.00K,0.42
2016.04.06,121.5,121.51,121.63,121.17,140.28K,-0.11
2016.04.07,122.03,121.52,122.13,121.45,161.34K,0.44
2016.04.08,121.64,121.96,122,121.56,116.84K,-0.32
2016.04.11,121.39,121.82,121.96,121.13,131.65K,-0.21
2016.04.12,120.95,121.19,121.2,120.75,159.42K,-0.36
2016.04.13,121.02,120.84,121.18,120.73,169.72K,0.06
2016.04.14,120.9,121.08,121.23,120.63,145.51K,-0.1
2016.04.15,121.21,120.97,121.33,120.91,114.98K,0.26
2016.04.18,120.7,121.24,121.43,120.58,139.33K,-0.42
2016.04.19,120.3,120.7,120.7,120.23,157.99K,-0.33
2016.04.20,120.79,120.59,120.86,120.45,155.25K,0.41
2016.04.21,119.74,120.29,120.32,119.54,197.27K,-0.87
2016.04.22,119.56,119.72,119.9,119.39,139.07K,-0.15
2016.04.25,119.55,119.51,119.76,119.26,124.24K,-0.01
2016.04.26,119.06,119.5,119.56,118.93,202.12K,-0.41
2016.04.27,119.39,119.18,119.52,119.09,147.78K,0.28
2016.04.28,119.64,119.99,120.05,119.5,163.48K,0.21
2016.04.29,119.6,119.8,119.87,119.35,190.58K,-0.03
2016.05.03,120.26,119.55,120.38,119.52,168.18K,0.55
2016.05.04,120.26,120.11,120.47,120.01,165.24K,0
2016.05.05,120.74,120.26,120.97,120.18,180.35K,0.4
2016.05.06,121.28,120.97,121.37,120.94,171.07K,0.45
2016.05.09,121.3,121.19,121.38,121.04,165.15K,0.02
2016.05.10,121.43,121.22,121.48,121.09,157.31K,0.11
2016.05.11,121.53,121.5,121.68,121.36,154.98K,0.08
2016.05.12,121.42,121.59,121.78,121.19,165.55K,-0.09
2016.05.13,121.7,121.59,121.81,121.46,152.77K,0.23
2016.05.16,121.51,121.73,121.89,121.41,103.07K,-0.16
2016.05.17,121.79,121.36,121.82,121.21,165.29K,0.23
2016.05.18,121.12,121.5,121.63,120.96,219.75K,-0.55
2016.05.19,121.18,120.8,121.22,120.64,195.08K,0.05
2016.05.20,120.94,121.2,121.21,120.77,146.51K,-0.2
2016.05.23,120.97,121.2,121.35,120.87,193.87K,0.02
2016.05.24,120.76,121.18,121.22,120.67,440.99K,-0.17
2016.05.25,120.96,120.64,121.01,120.54,490.30K,0.17
2016.05.26,121.25,120.89,121.35,120.77,234.95K,0.24
2016.05.27,121.11,121.42,121.45,121.07,28.92K,-0.12
2016.05.31,121.12,120.83,121.24,120.64,9.61K,0.01
2016.06.01,121.7,121.27,121.91,121.24,6.61K,0.48
2016.06.02,121.97,121.79,122.06,121.55,3.87K,0.22
2016.06.03,122.61,122.11,122.82,121.99,1.65K,0.52
2016.06.06,122.57,122.75,122.93,122.51,0.91K,-0.03
2016.06.07,122.73,122.57,122.76,122.52,2.44K,0.13
2016.06.08,122.81,122.81,122.81,122.64,1.00K,0.07
2016.06.09,122.88,122.95,122.95,122.95,0.43K,0.06
2016.06.10,123.02,123.06,123.1,122.97,0.83K,0.11
2016.06.13,123.15,123.14,123.14,123.14,0.55K,0.11
2016.06.14,123.85,123.86,123.86,123.86,1.25K,0.57
2016.06.15,123.99,123.44,123.47,123.41,0.06K,0.11
2016.06.16,124.14,124.2,124.2,123.97,0.33K,0.12
2016.06.17,124.2,124.13,124.49,123.9,0,0.05
2016.06.20,122.84,123.33,123.33,123.26,19.34K,-1.1
